region,district,id_reg,district_short,region_alt_rus,region_eng,region_rus,col,row
Алтайский край,Сибирский федеральный округ,RU-ALT,СФО,Ал. к.,ALK,АЛТК,12,5
Амурская область,Дальневосточный федеральный округ,RU-AMU,ДФО,Амур,AMU,АМУР,15,3
Архангельская область,Северо-Западный федеральный округ,RU-ARK,СЗФО,Арх,ARH,АРХ,8,2
Астраханская область,Южный федеральный округ,RU-AST,ЮФО,Аст,AST,АСТ,7,8
Белгородская область,Центральный федеральный округ,RU-BEL,ЦФО,Бел,BEL,БЕЛ,4,7
Брянская область,Центральный федеральный округ,RU-BRY,ЦФО,Бря,BRN,БРН,2,5
Владимирская область,Центральный федеральный округ,RU-VLA,ЦФО,Вла,VLA,ВЛА,5,4
Волгоградская область,Южный федеральный округ,RU-VGG,ЮФО,Волг,VGG,ВЛГГ,6,7
Вологодская область,Северо-Западный федеральный округ,RU-VLG,СЗФО,Воло,VGD,ВЛГД,4,2
Воронежская область,Центральный федеральный округ,RU-VOR,ЦФО,Вор,VRN,ВРН,5,7
Еврейская автономная область,Дальневосточный федеральный округ,RU-YEV,ДФО,Евр,YEV,ЕВР,15,4
Забайкальский край,Сибирский федеральный округ,RU-ZAB,СФО,Заб,ZAB,ЗАБ,14,5
Ивановская область,Центральный федеральный округ,RU-IVA,ЦФО,Ива,IVA,ИВА,5,3
Иркутская область,Сибирский федеральный округ,RU-IRK,СФО,Ирк,IRK,ИРК,14,3
Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ,RU-KB,СКФО,Каб,KBR,КБР,4,10
Калининградская область,Северо-Западный федеральный округ,RU-KGD,СЗФО,Кали,KLN,КЛН,0,3
Калужская область,Центральный федеральный округ,RU-KLU,ЦФО,Калу,KLG,КЛЖ,3,4
Камчатский край,Дальневосточный федеральный округ,RU-KAM,ДФО,Кам,KAM,КАМ,17,1
Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ,RU-KCH,СКФО,Кара,KCH,КЧР,4,9
Кемеровская область,Сибирский федеральный округ,RU-KEM,СФО,Кем,KEM,КЕМ,13,3
